id,bus_id,origin_id,destination_id,distance,price,departure,arrival
1,EU123,London_EAST,Paris_WEST,350,50,1648642800,1648660800
2,FR456,London_WEST,Paris_EAST,350,45,1648657200,1648675200
3,UK789,London_WEST,Paris_WEST,350,55,1648673400,1648691400
4,DE321,Paris_WEST,Berlin_EAST,700,60,1648657800,1648683000
5,FR654,Paris_WEST,Berlin_EAST,700,55,1648674000,1648699200
6,EU987,Paris_WEST,Berlin_EAST,700,65,1648691700,1648716900
7,IT123,Berlin_EAST,Rome_EAST,1100,70,1648683900,1648725600
8,EU456,Berlin_EAST,Rome_WEST,1100,65,1648699200,1648741800
9,DE789,Berlin_EAST,Rome_WEST,1100,75,1648715400,1648757100
10,ES123,Rome_WEST,Madrid_EAST,1450,80,1648701600,1648753800
11,EU456,Rome_EAST,Madrid_EAST,1450,75,1648716900,1648770300
12,IT789,Rome_WEST,Madrid_EAST,1450,85,1648733100,1648785300
13,NL123,Madrid_WEST,Amsterdam_EAST,1750,70,1648719300,1648771500
14,ES456,Madrid_WEST,Amsterdam_WEST,1750,65,1648735500,1648786800
15,EU789,Madrid_WEST,Amsterdam_WEST,1750,75,1648751700,1648803000
16,BE123,Amsterdam_EAST,Brussels_WEST,173,25,1648701600,1648713600
17,EU456,Amsterdam_EAST,Brussels_WEST,173,30,1648715400,1648726500
18,NL789,Amsterdam_EAST,Brussels_EAST,173,28,1648733400,1648744500
19,CH123,Brussels_EAST,Zurich_WEST,650,55,1648704600,1648746300
20,EU456,Brussels_WEST,Zurich_WEST,650,50,1648721100,1648773600
21,BE789,Brussels_EAST,Zurich_WEST,650,60,1648737600,1648788900
22,AT123,Zurich_WEST,Vienna_WEST,1030,50,1648698000,1648734900
23,EU456,Zurich_WEST,Vienna_EAST,1030,45,1648713300,1648750200
24,CH789,Zurich_WEST,Vienna_WEST,1030,55,1648729500,1648766400
25,CZ123,Vienna_WEST,Prague_WEST,330,35,1648700700,1648715400
26,EU456,Vienna_EAST,Prague_EAST,330,30,1648716000,1648731100
27,AT789,Vienna_WEST,Prague_WEST,330,40,1648734900,1648757400
28,HU123,Prague_WEST,Budapest_EAST,530,40,1648708800,1648734300
29,EU456,Prague_EAST,Budapest_EAST,530,35,1648720500,1648746000
30,CZ789,Prague_EAST,Budapest_WEST,530,45,1648732200,1648757700
31,NL456,London_EAST,Amsterdam_WEST,570,55,1648705200,1648750800
32,EU789,London_WEST,Amsterdam_EAST,570,50,1648720500,1648766100
33,UK101,London_WEST,Amsterdam_EAST,570,60,1648735800,1648781400
34,ES456,Paris_WEST,Barcelona_WEST,830,70,1648709700,1648751400
35,FR789,Paris_WEST,Barcelona_EAST,830,65,1648725900,1648767600
36,EU101,Paris_EAST,Barcelona_WEST,830,75,1648742100,1648794000
37,AT456,Berlin_WEST,Vienna_WEST,680,60,1648706400,1648733700
38,DE789,Berlin_EAST,Vienna_WEST,680,55,1648721700,1648749000
39,EU101,Berlin_WEST,Vienna_WEST,680,65,1648737000,1648764300
40,CH456,Rome_EAST,Zurich_WEST,590,75,1648712700,1648754400
41,IT789,Rome_EAST,Zurich_WEST,590,70,1648729200,1648771100
42,EU101,Rome_WEST,Zurich_WEST,590,80,1648745500,1648787400
43,PT456,Madrid_EAST,Lisbon_EAST,630,65,1648709400,1648753500
44,ES789,Madrid_WEST,Lisbon_WEST,630,60,1648725600,1648769700
45,EU101,Madrid_EAST,Lisbon_EAST,630,70,1648741800,1648785900
46,DE456,Amsterdam_EAST,Munich_EAST,770,55,1648700700,1648732500
47,EU789,Amsterdam_EAST,Munich_EAST,770,50,1648716000,1648747800
48,NL101,Amsterdam_EAST,Munich_EAST,770,60,1648732200,1648764000
49,CZ456,Brussels_WEST,Prague_WEST,670,45,1648706400,1648725900
50,BE789,Brussels_EAST,Prague_WEST,670,40,1648721700,1648741200
51,EU101,Brussels_EAST,Prague_WEST,670,50,1648737000,1648756500
52,IT456,Zurich_EAST,Milan_EAST,290,50,1648707300,1648734600
53,CH789,Zurich_WEST,Milan_EAST,290,45,1648723800,1648751100
54,EU101,Zurich_WEST,Milan_WEST,290,55,1648740100,1648767400
55,HU456,Vienna_EAST,Budapest_WEST,250,35,1648712400,1648727700
56,AT789,Vienna_EAST,Budapest_WEST,250,30,1648728000,1648743300
57,EU101,Vienna_WEST,Budapest_EAST,250,40,1648743600,1648758900
58,PL456,Prague_WEST,Krakow_EAST,350,40,1648701600,1648723500
59,CZ789,Prague_WEST,Krakow_EAST,350,35,1648713300,1648735200
60,EU101,Prague_WEST,Krakow_WEST,350,45,1648725000,1648746900
