id,bus_id,origin_id,destination_id,distance,price,departure,arrival
1,EU123,London,Paris,350,50,08:00,14:00
2,FR456,London,Paris,350,45,11:00,17:00
3,UK789,London,Paris,350,55,14:30,20:30
4,DE321,Paris,Berlin,700,60,09:30,17:30
5,FR654,Paris,Berlin,700,55,12:00,20:00
6,EU987,Paris,Berlin,700,65,15:15,23:15
7,IT123,Berlin,Rome,1100,70,07:45,18:00
8,EU456,Berlin,Rome,1100,65,10:00,20:30
9,DE789,Berlin,Rome,1100,75,13:30,23:45
10,ES123,Rome,Madrid,1450,80,08:15,19:30
11,EU456,Rome,Madrid,1450,75,11:30,22:00
12,IT789,Rome,Madrid,1450,85,14:45,01:15
13,NL123,Madrid,Amsterdam,1750,70,09:00,17:30
14,ES456,Madrid,Amsterdam,1750,65,12:30,21:00
15,EU789,Madrid,Amsterdam,1750,75,15:45,00:15
16,BE123,Amsterdam,Brussels,173,25,07:45,10:00
17,EU456,Amsterdam,Brussels,173,30,11:00,13:15
18,NL789,Amsterdam,Brussels,173,28,15:30,17:45
19,CH123,Brussels,Zurich,650,55,08:30,16:45
20,EU456,Brussels,Zurich,650,50,11:45,20:00
21,BE789,Brussels,Zurich,650,60,14:00,22:15
22,AT123,Zurich,Vienna,1030,50,07:00,15:15
23,EU456,Zurich,Vienna,1030,45,10:15,18:30
24,CH789,Zurich,Vienna,1030,55,13:30,21:45
25,CZ123,Vienna,Prague,330,35,08:45,12:30
26,EU456,Vienna,Prague,330,30,12:00,15:45
27,AT789,Vienna,Prague,330,40,15:15,19:00
28,HU123,Prague,Budapest,530,40,09:00,13:45
29,EU456,Prague,Budapest,530,35,12:15,17:00
30,CZ789,Prague,Budapest,530,45,15:30,20:15
31,NL456,London,Amsterdam,570,55,09:30,18:00
32,EU789,London,Amsterdam,570,50,12:45,21:15
33,UK101,London,Amsterdam,570,60,15:00,23:30
34,ES456,Paris,Barcelona,830,70,10:15,20:30
35,FR789,Paris,Barcelona,830,65,13:30,23:45
36,EU101,Paris,Barcelona,830,75,16:45,03:00
37,AT456,Berlin,Vienna,680,60,08:00,16:15
38,DE789,Berlin,Vienna,680,55,11:15,19:30
39,EU101,Berlin,Vienna,680,65,14:30,22:45
40,CH456,Rome,Zurich,590,75,09:45,18:00
41,IT789,Rome,Zurich,590,70,12:30,21:45
42,EU101,Rome,Zurich,590,80,15:15,00:30
43,PT456,Madrid,Lisbon,630,65,08:30,15:45
44,ES789,Madrid,Lisbon,630,60,11:45,19:00
45,EU101,Madrid,Lisbon,630,70,14:00,21:15
46,DE456,Amsterdam,Munich,770,55,07:45,15:00
47,EU789,Amsterdam,Munich,770,50,10:00,17:15
48,NL101,Amsterdam,Munich,770,60,13:15,20:30
49,CZ456,Brussels,Prague,670,45,09:00,13:45
50,BE789,Brussels,Prague,670,40,12:15,17:00
51,EU101,Brussels,Prague,670,50,15:30,20:15
52,IT456,Zurich,Milan,290,50,08:15,14:30
53,CH789,Zurich,Milan,290,45,11:30,17:45
54,EU101,Zurich,Milan,290,55,14:45,21:00
55,HU456,Vienna,Budapest,250,35,09:30,12:15
56,AT789,Vienna,Budapest,250,30,12:45,15:30
57,EU101,Vienna,Budapest,250,40,15:00,17:45
58,PL456,Prague,Krakow,350,40,08:00,12:45
59,CZ789,Prague,Krakow,350,35,11:15,15:00
60,EU101,Prague,Krakow,350,45,14:30,18:15
